Constituency,SN,Candidate,Party,Votes
Tumkur Rural,10,S.T.GOVINDAIAH,Independent,313
Tumkur Rural,11,YOGANARASIMHAMURTHY.T.H,Independent,309
Tumkur Rural,12,K.V.SRINIVAS KALKERE,Independent,152
Tumkur Rural,13,SIDDARAMEGOWDA,Independent,455
Tumkur Rural,14,NOTA,None of the Above,1200
Koratagere,1,B. H. ANIL KUMAR,Bharatiya Janata Party,24091
Koratagere,2,Dr. G. PARAMESHWARA,Indian National Congress,79099
Koratagere,3,S. G. MANJUNATHA,Bahujan Samaj Party,1011
Koratagere,4,P. R. SUDHAKAR LAL,Janata Dal (Secular),64752
Koratagere,5,D. HANUMANTHARAYAPPA,Aam Aadmi Party,1233
Koratagere,6,NAGENDRA T. N.,Uttama Prajaakeeya Party,850
Koratagere,7,RAVIKUMAR K. C.,Karnataka Rashtra Samithi,344
Koratagere,8,HANUMAIAH N.,Welfare Party Of India,140
Koratagere,9,MUNIYAPPA K. M.,Independent,1159
Koratagere,10,VIJAYALAKSHMI B. N.,Independent,254
Koratagere,11,V. SHANTHAKUMAR,Independent,230
Koratagere,12,HANUMANTHARAYAPPA,Independent,655
Koratagere,13,NOTA,None of the Above,760
Gubbi,1,S D DILIPKUMAR,Bharatiya Janata Party,51979
Gubbi,2,NAGARAJU B S,Janata Dal (Secular),43046
Gubbi,3,PRABHUSWAMY B S,Aam Aadmi Party,1834
Gubbi,4,SHIVANNA,Bahujan Samaj Party,341
Gubbi,5,S R SRINIVAS (VASU),Indian National Congress,60520
Gubbi,6,PRAVEEN GOWDA CHELUR,Karnataka Rashtra Samithi,674
Gubbi,7,H H GIRIYAPPA,Independent,221
Gubbi,8,DR BHAVANA R GIRIDHAR,Independent,340
Gubbi,9,VEERESHAPRASAD R (GUBBI VEERANNA),Independent,160
Gubbi,10,SRINIVAS T V,Independent,295
Gubbi,11,NOTA,None of the Above,726
Sira,1,R Ugresh,Janata Dal (Secular),56834
Sira,2,T B Jayachandra,Indian National Congress,86084
Sira,3,Nataraju N K,Bahujan Samaj Party,828
Sira,4,C M Rajesh Gowda,Bharatiya Janata Party,42329
Sira,5,Shashikumar R,Aam Aadmi Party,583
Sira,6,Ashoka,Uttama Prajaakeeya Party,618
Sira,7,N Kumar,Dr. Ambedkar People's Party,87
Sira,8,Girish,Communist Party of India,633
Sira,9,K T Gundaraj,Swayam Krushi Party,233
Sira,10,Pradeep Kumar,Karnataka Rashtra Samithi,270
Sira,11,S N Kantharaju,Independent,121
Sira,12,Bandi Ranganatha Y R,Independent,100
Sira,13,B A Manjunatha,Independent,166
Sira,14,Ranganatha,Independent,790
Sira,15,Ranganathaiah Y G,Independent,308
Sira,16,NOTA,None of the Above,722
Pavagada,1,KRISHNA NAIK,Bharatiya Janata Party,7206
Pavagada,2,K.M.THIMMARAYAPPA,Janata Dal (Secular),72181
Pavagada,3,N.RAMANJINAPPA,Aam Aadmi Party,1831
Pavagada,4,H.V.VENKATESH,Indian National Congress,83062
Pavagada,5,T.HANUMANTHARAYA,Bahujan Samaj Party,504
Pavagada,6,NARASIMHARAJU C N,Karnataka Rashtra Samithi,186
Pavagada,7,NERALAKUNTE NAGENDRAKUMAR,Kalyana Rajya Pragathi Paksha,875
Pavagada,8,B T RAMASUBBAIAH,BhartiyaBahujanKranti Dal,112
Pavagada,9,GOVINDAPPA V,Independent,327
Pavagada,10,NAGARAJAPPA,Independent,124
Pavagada,11,SRINIVASAPURADA SRINIVASA BABU,Independent,368
Pavagada,12,NOTA,None of the Above,614
Madhugiri,1,L. C. NAGARAJA,Bharatiya Janata Party,15612
Madhugiri,2,N.MADHU,Bahujan Samaj Party,769
Madhugiri,3,KYATHASANDRA N. RAJANNA,Indian National Congress,91166
Madhugiri,4,M.V.VEERABHADRAIAH,Janata Dal (Secular),55643
Madhugiri,5,SYED MUZAAMIL PASHAA,Aam Aadmi Party,749
Madhugiri,6,JAYANTH.D.C,Karnataka Rashtra Samithi,206
Madhugiri,7,MUDDURAJU. G,Uttama Prajaakeeya Party,569
Madhugiri,8,RANGANATHA. R.S.,Lok Shakti,154
Madhugiri,9,VENKATESHA,Jai Maha Bharath Party,470
Madhugiri,10,DHANUSH‌ KUMAR. B.K,Independent,251
Madhugiri,11,G.H. MARUTHI,Independent,254
Madhugiri,12,LAKSHMINARAYANAPPA,Independent,154
Madhugiri,13,NOTA,None of the Above,618
Gauribidanur,1,C.R.NARASIMHA MURTHY. (ZP),Janata Dal (Secular),11125
Gauribidanur,2,PRAKASH BABU.K.,Bahujan Samaj Party,395
Gauribidanur,3,Dr. H.S. SHASHIDHARA KUMAR,Bharatiya Janata Party,8132
Gauribidanur,4,N.H.SHIVASHANKARA REDDY,Indian National Congress,46551
Gauribidanur,5,SYED NASIR ALI,Aam Aadmi Party,386
Gauribidanur,6,C.N.PRAKASH,Kalyana Rajya Pragathi Paksha,178
Gauribidanur,7,LAKSHMANA NAYAKA.B,Uttama Prajaakeeya Party,702
Gauribidanur,8,SRINIVASA.C.V (K.R.S),Karnataka Rashtra Samithi,383
Gauribidanur,9,DR.KEMPARAJU.K.,Independent,24202
Gauribidanur,10,NASURULLA,Independent,476
Gauribidanur,11,PUTTASWAMY,Independent,1037
Gauribidanur,12,PUTTASWAMY GOWDA,Independent,558
Gauribidanur,13,K.PUTTASWAMY GOWDA,Independent,1311
Gauribidanur,14,K.H.PUTTASWAMY GOWDA (KHP),Independent,83837
Gauribidanur,15,G.N.RAVI,Independent,250
Gauribidanur,16,VIJAYAKUMAR.N.R,Independent,350
Gauribidanur,17,SHASHIKUMAR.C.L,Independent,206
Gauribidanur,18,N.HANUMANTHANAYAKA,Independent,175
Gauribidanur,19,NOTA,None of the Above,561
Bagepalli,1,DR|| A. ANIL KUMAR,Communist Party of India (Marxist),19621
Bagepalli,2,DR. MADHU SEETHAPPA,Aam Aadmi Party,1454
Bagepalli,3,C. MUNIRAJU,Bharatiya Janata Party,62949
Bagepalli,4,T. MUNISWAMI (SAI),Bahujan Samaj Party,713
Bagepalli,5,S.N. SUBBAREDDY (CHINNAKAYALAPALLI),Indian National Congress,82128
Bagepalli,6,C. KRISHNA REDDY,Kalyana Rajya Pragathi Paksha,1598
Bagepalli,7,C. THIPPANNA,Karnataka Rashtra Samithi,142
Bagepalli,8,RAJESH D.V (UPENDRARAJU),Uttama Prajaakeeya Party,153
Bagepalli,9,ARUNA. D,Independent,107
Bagepalli,10,S. N. GOVINDAREDDY,Independent,113
Bagepalli,11,NARENDRA. A.N.,Independent,134
Bagepalli,12,MITHUN REDDY,Independent,2723
Bagepalli,13,K. LAKSHMINARASIMHA CHAR (MITTEMARI),Independent,172
Bagepalli,14,SHREERAMA. G. V,Independent,181
Bagepalli,15,HARISHA. M,Independent,181
Bagepalli,16,NOTA,None of the Above,1003
Chikkaballapur,1,PRADEEP ESHWAR,Indian National Congress,86224
Chikkaballapur,2,PILLA ANJINAPPA,Bahujan Samaj Party,338
Chikkaballapur,3,K.P. BACHE GOWDA,Janata Dal (Secular),19815
Chikkaballapur,4,DR. M.M. BHASHA NANDI,Aam Aadmi Party,773
Chikkaballapur,5,DR. K. SUDHAKAR,Bharatiya Janata Party,75582
Chikkaballapur,6,ANJINAPPA.P,Karnataka Rashtra Samithi,304
Chikkaballapur,7,B.K. PRASAD,"Proutist Bloc, India",62
Chikkaballapur,8,ALTAF AHMED,Independent,145
Chikkaballapur,9,CHANDRASHEKAR.H.C,Independent,138
Chikkaballapur,10,T. VENKATA SIVUDU,Independent,70
Chikkaballapur,11,SUDHAKAR.N,Independent,181
Chikkaballapur,12,SYED AMANULLA,Independent,135
Chikkaballapur,13,NOTA,None of the Above,1050
Sidlaghatta,1,B S MOULAJAN,Aam Aadmi Party,1387
Sidlaghatta,2,B.N. RAVI KUMAR,Janata Dal (Secular),68932
Sidlaghatta,3,B.V. RAJEEV GOWDA,Indian National Congress,36157
Sidlaghatta,4,SEEKAL RAMACHANDRA GOWDA,Bharatiya Janata Party,15446
Sidlaghatta,5,MALLURU VENKATARAMANAPPA,Bahujan Samaj Party,335
Sidlaghatta,6,KEMPEGOWDA SUNDRAHALLI,Karnataka Rashtra Samithi,203
Sidlaghatta,7,DEVAPPA.V.,Rashtriya Samaj Dal (R),346
Sidlaghatta,8,PUTTU ANJINAPPA,Independent,52160
Sidlaghatta,9,NANJAPPA,Independent,370
Sidlaghatta,10,BALAMURALI KRISHNA,Independent,244
Sidlaghatta,11,BYREGOWDA VENKATASHAMAPPA,Independent,81
Sidlaghatta,12,SRINATHA.A,Independent,195
Sidlaghatta,13,S.A.SYED GHOUSE,Independent,186
Sidlaghatta,14,SANDEEP REDDY H.R,Independent,698
Sidlaghatta,15,NOTA,None of the Above,520
Chintamani,1,J.K. KRISHNA REDDY,Janata Dal (Secular),68272
Chintamani,2,P.V. NAGAPPA,Bahujan Samaj Party,450
Chintamani,3,C. BYREDDY,Aam Aadmi Party,633
Chintamani,4,G.N. VENUGOPAL (GOPI),Bharatiya Janata Party,21711
Chintamani,5,DR. M.C. SUDHAKAR,Indian National Congress,97324
Chintamani,6,SHIVAREDDY. S,Karnataka Rashtra Samithi,450
Chintamani,7,SYED ALEEM PASHA,Indian Labour Party (Ambedkar Phule),144
Chintamani,8,KRISHNAREDDY. K,Independent,173
Chintamani,9,N.C. KRISHNAREDDY,Independent,185
Chintamani,10,SUDHAKARA. R,Independent,222
Chintamani,11,HIDAYATH,Independent,202
Chintamani,12,NOTA,None of the Above,866
Srinivaspur,1,K.R. RAMESH KUMAR,Indian National Congress,85020
Srinivaspur,2,G.K. VENKATASHIVAREDDY,Janata Dal (Secular),95463
Srinivaspur,3,DRΙΙ Y.V.VENKATACHALA,Aam Aadmi Party,2086
Srinivaspur,4,GUNJURU R. SRINIVASAREDDY,Bharatiya Janata Party,6644
Srinivaspur,5,KRS ANANDA G.K,Karnataka Rashtra Samithi,233
Srinivaspur,6,N.S. RAMESH KUMAR,Independent,148
Srinivaspur,7,S.RAMESH KUMAR,Independent,229
Srinivaspur,8,VENKATASHIVAREDDY,Independent,148
Srinivaspur,9,T.N. VENKATASHIVAREDDY,Independent,323
Srinivaspur,10,NOTA,None of the Above,678
Mulbagal,1,V.ADINARAYANA,Indian National Congress,67986
Mulbagal,2,SAMRUDDHI V. MANJUNATH,Janata Dal (Secular),94254
Mulbagal,3,DR SANGASANDRA VIJAYAKUMAR,Aam Aadmi Party,2762
Mulbagal,4,K.SUNDER RAJ [SHEEGEHALLI SUNDER],Bharatiya Janata Party,9163
Mulbagal,5,K.R.S (PARTY) SAFARI ANAND,Karnataka Rashtra Samithi,211
Mulbagal,6,MILITARY MURTHY K.V,Sarvajanika Adarsha Sena,121
Mulbagal,7,DR G.M.GOVINDAPPA,Independent,252
Mulbagal,8,M.KOTHUR R GOVINDU,Independent,75
Mulbagal,9,K.NAGARAJA,Independent,101
Mulbagal,10,G.C.RAMAPPA,Independent,75
Mulbagal,11,VENKATESHAPPA (LAWYER),Independent,167
Mulbagal,12,R.SRIDHAR,Independent,412
Mulbagal,13,NOTA,None of the Above,922
Kolar Gold Field,1,ASHWINI SAMPANGI,Bharatiya Janata Party,31102
Kolar Gold Field,2,KODANDA. R,Bahujan Samaj Party,260
Kolar Gold Field,3,R. GAGGANA SUKANYA,Aam Aadmi Party,278
Kolar Gold Field,4,THANGARAJ. P,Communist Party of India (Marxist),1008
Kolar Gold Field,5,DR. RAMESH BABU.V.M.,Janata Dal (Secular),1360
Kolar Gold Field,6,ROOPA KALA. M,Indian National Congress,81569
Kolar Gold Field,7,JOTHI BASH. R,Communist Party of India,918
Kolar Gold Field,8,S. RAJENDRAN,Republican Party of India,29795
Kolar Gold Field,9,V. KALAVATHI,Independent,182
Kolar Gold Field,10,DR.JOSHUA M E RAJAN,Independent,196
Kolar Gold Field,11,NOTA,None of the Above,1383
Bangarapet,1,M. NARAYANASWAMY,Bharatiya Janata Party,8972
Bangarapet,2,S.N. NARAYANASWAMY. K.M,Indian National Congress,77292
Bangarapet,3,K.N NARAYANASWAMY,Bahujan Samaj Party,859
Bangarapet,4,M. Mallesh Babu,Janata Dal (Secular),72581
Bangarapet,5,HARIKRISHNA RAMAPPA,Aam Aadmi Party,2530
Bangarapet,6,KRS RAJU M PAUL,Karnataka Rashtra Samithi,467
Bangarapet,7,JYOTHISHA KOLARA,Independent,141
Bangarapet,8,S.N. NARAYANASWAMY. V,Independent,229
Bangarapet,9,NOTA,None of the Above,1223
Kolar,1,JAMEEL AHAMED. N,Aam Aadmi Party,1158
Kolar,2,KOTHUR.G. MANJUNATHA,Indian National Congress,83990
Kolar,3,R. VARTHURU PRAKASH,Bharatiya Janata Party,50914
Kolar,4,C.M.R. SRINATH,Janata Dal (Secular),53229
Kolar,5,S.B.SURESH,Bahujan Samaj Party,277
Kolar,6,K.R.S. INDIRA REDDY.A,Karnataka Rashtra Samithi,156
Kolar,7,C. THAMMAPPA,Samajwadi Party,55
Kolar,8,SRI. M.S.BADARINARAYANA,Republican Party of India (Athawale),87
Kolar,9,ARAVIND. G.R.,Independent,39
Kolar,10,K .S . AREEF,Independent,122
Kolar,11,AMJAD PASHA,Independent,52
Kolar,12,DEVAKUMAR.H.A,Independent,76
Kolar,13,PRAKASHA,Independent,208
Kolar,14,BYREDDY. T,Independent,176
Kolar,15,D V MANJUNATHA,Independent,200
Kolar,16,M. RAMESHA,Independent,139
Kolar,17,G.VENKATACHALAPATHI,Independent,447
Kolar,18,S. SATHISH,Independent,488
Kolar,19,NOTA,None of the Above,1005
Malur,1,K.Y.NANJEGOWDA,Indian National Congress,50955
Malur,2,K.S.MANJUNATHAGOWDA,Bharatiya Janata Party,50707
Malur,3,VADAGANAHALLI N.RAMESHA,Bahujan Samaj Party,671
Malur,4,RAVISHANKAR.M,Aam Aadmi Party,708
Malur,5,G.E.RAMEGOWDA,Janata Dal (Secular),17627
Malur,6,K.R.S MAHESH A.V,Karnataka Rashtra Samithi,154
Malur,7,VENKATESH GOWDA.B.G,Sanyukt Vikas Party,96
Malur,8,JAYAMMA,Independent,77
Malur,9,N. DEAVANANDA BABU,Independent,54
Malur,10,K.NAGESH,Independent,38
Malur,11,NARAYANAMMA,Independent,102
Malur,12,H. R. RAMEGOWDA,Independent,281
Malur,13,M.VIJAYA KUMAR,Independent,1370
Malur,14,HOODI VIJAYAKUMAR,Independent,49362
Malur,15,SURESH KEMPANNA,Independent,443
Malur,16,NOTA,None of the Above,647
Yelahanka,1,KESHAVA RAJANNA B,Indian National Congress,77428
Yelahanka,2,MUNEGOWDA M,Janata Dal (Secular),44491
Yelahanka,3,P MANJUNATHA,Aam Aadmi Party,1597
Yelahanka,4,S R VISHWANATH,Bharatiya Janata Party,141538
Yelahanka,5,SANDEEP MARASANDRA MUNIYAPPA,Bahujan Samaj Party,940
Yelahanka,6,ASHWATH M M,Uttama Prajaakeeya Party,2944
Yelahanka,7,T R NARAYANA RAO,Indian Labour Party (Ambedkar Phule),142
Yelahanka,8,MUNIRAJU M,Rashtriya Janahita Party,115
Yelahanka,9,RAGHU NANDANA J P,Karnataka Rashtra Samithi,358
Yelahanka,10,VISHAL GOWDA,Sanyukt Vikas Party,112
Yelahanka,11,BHAGYA N,Independent,191
Yelahanka,12,MUNEGOWDA N,Independent,139
Yelahanka,13,B M MUNEGOWDA,Independent,183
Yelahanka,14,MUNEGOWDA V,Independent,193
Yelahanka,15,K RAMESH,Independent,181
Yelahanka,16,B LAKSHMAIAH,Independent,362
Yelahanka,17,S V VISHWANATH,Independent,560
Yelahanka,18,VISHWANATH H J,Independent,335
Yelahanka,19,SANDESH G,Independent,271
Yelahanka,20,HEMRAJ Y C (Y.V.C.RAJU),Independent,489
Yelahanka,21,NOTA,None of the Above,2238
K.R. Pura,1,DR J S KESHAVA KUMAR,Aam Aadmi Party,2319
K.R. Pura,2,M NANJEGOWDA,Communist Party of India (Marxist),1220
K.R. Pura,3,B. A. BASAVARAJA,Bharatiya Janata Party,139925
K.R. Pura,4,D K MOHAN,Indian National Congress,115624
K.R. Pura,5,C Venkatachalapathi,Janata Dal (Secular),1975
K.R. Pura,6,P P APPANNA,Communist Party of India (Marxist-Leninist) (Liberation),227
K.R. Pura,7,AROGYASWAMY,Karnataka Rashtra Samithi,393
K.R. Pura,8,M P JAGANATHA RAO,Jana Spandana Party,151
K.R. Pura,9,MADESHA N,Uttama Prajaakeeya Party,2215
K.R. Pura,10,N SRINIVAS,Jai Maha Bharath Party,155
K.R. Pura,11,JAYALAKSHMI M,Independent,471
K.R. Pura,12,SHIVA C,Independent,391
K.R. Pura,13,NOTA,None of the Above,4396
Byatarayanapura,1,KRISHNA BYREGOWDA,Indian National Congress,160182
Byatarayanapura,2,GIRISH K,Aam Aadmi Party,1271
Byatarayanapura,3,THAMMESH GOWDA H C,Bharatiya Janata Party,121978
Byatarayanapura,4,NAGARAJ GOWDA P,Janata Dal (Secular),4365
Byatarayanapura,5,NAZIR AHMED,Indian Labour Party (Ambedkar Phule),110
Byatarayanapura,6,PRATAP R,Karnataka Rashtra Samithi,315
Byatarayanapura,7,MAQSOOD AHMED,Navarang Congress Party,46
Byatarayanapura,8,MANJUNATHA CHARI K,Rashtriya Janahita Party,64
Byatarayanapura,9,BRIGADIER RAVI MUNISWAMY,Sarvajanika Adarsha Sena,307
Byatarayanapura,10,RAHEEM K.R. HALLI,Uttama Prajaakeeya Party,1490
Byatarayanapura,11,RANJITHA N,Akhil Bharat Hindu Mahasabha,120
Byatarayanapura,12,SAMPOORNA GOWDA,Samajwadi Party,175
Byatarayanapura,13,KALID KHAN,Independent,104
Byatarayanapura,14,T DASAPPA,Independent,131
Byatarayanapura,15,NAGARAJA G,Independent,93
Byatarayanapura,16,RAMESH M,Independent,587
Byatarayanapura,17,VENKATRAMU K V,Independent,553
Byatarayanapura,18,NOTA,None of the Above,2383
Yeshvanthapura,1,GOVINDAIAH,Bahujan Samaj Party,920
Yeshvanthapura,2,T.N.JAVARAYI GOWDA,Janata Dal (Secular),154031
Yeshvanthapura,3,S. BALRAJ GOWDA,Indian National Congress,21684
Yeshvanthapura,4,SHASHIDHAR. C. ARADHYA,Aam Aadmi Party,2199
Yeshvanthapura,5,S.T. SOMASHEKAR,Bharatiya Janata Party,169149
Yeshvanthapura,6,UDAY KUMAR,Uttama Prajaakeeya Party,4298
Yeshvanthapura,7,NAGARAJ .K.S.,Samajwadi Party,222
Yeshvanthapura,8,NAGARAJU .C.R,Bharatiya Prajagala Kalyana Paksha,196
Yeshvanthapura,9,RAVIKUMAR. V.,Karnataka Rashtra Samithi,532
Yeshvanthapura,10,SHAKILA BANU,Young Star Empowerment Party,164
Yeshvanthapura,11,ABHAYA SHEELA,Rashtriya Samaj Dal (R),252
Yeshvanthapura,12,G.UDAYASHANKAR,Independent,539
Yeshvanthapura,13,H.K.SHASHIREKHA,Independent,237
Yeshvanthapura,14,HAMSA RAVIKUMAR,Independent,631
Yeshvanthapura,15,NOTA,None of the Above,2857
Rajarajeshwarinagar,1,ANANTHA SUBHASH CHANDRA,Aam Aadmi Party,1191
Rajarajeshwarinagar,2,KUSUMA .H,Indian National Congress,116138
Rajarajeshwarinagar,3,N. NAGARAJU,Bahujan Samaj Party,681
Rajarajeshwarinagar,4,DR. V.NARAYANA SWAMY,Janata Dal (Secular),7795
Rajarajeshwarinagar,5,MUNIRATHNA,Bharatiya Janata Party,127980
Rajarajeshwarinagar,6,S. CHANDRASHEKHAR,Karnataka Rashtra Samithi,553
Rajarajeshwarinagar,7,GNANAMURTHY V,Socialist Unity Centre Of India (COMMUNIST),193
Rajarajeshwarinagar,8,MANJUNATHA M,Uttama Prajaakeeya Party,4118
Rajarajeshwarinagar,9,LAKSHMI,Janata Dal (United),125
Rajarajeshwarinagar,10,M. LINGARAJU,Jai Maha Bharath Party,96
Rajarajeshwarinagar,11,AREEF PASHA,Independent,154
Rajarajeshwarinagar,12,A. KALAPPA,Independent,129
Rajarajeshwarinagar,13,H. RUKMINI,Independent,223
Rajarajeshwarinagar,14,SUBHASH S,Independent,329
Rajarajeshwarinagar,15,NOTA,None of the Above,2996
Dasarahalli,1,KIRTHAN KUMAR MANJAPPA,Aam Aadmi Party,4486
Dasarahalli,2,POOJARI CHIKKANNA,Bahujan Samaj Party,670
Dasarahalli,3,G. DHANANJAYA,Indian National Congress,43519
Dasarahalli,4,S. MUNIRAJU,Bharatiya Janata Party,91289
Dasarahalli,5,R. MANJUNATHA,Janata Dal (Secular),82095
Dasarahalli,6,ASHWATH KUMAR,Uttama Prajaakeeya Party,3365
Dasarahalli,7,ESHWARAIAH K. S.,Lok Shakti,222
Dasarahalli,8,SHREEKUMAR. T.,Karnataka Rashtra Samithi,370
Dasarahalli,9,M. SNEHA,Indian Movement Party,122
Dasarahalli,10,KALPANA. A. V,Independent,121
Dasarahalli,11,N. MANJUNATHA,Independent,296
Dasarahalli,12,MANJUNATH R.,Independent,319
Dasarahalli,13,R. MANJUNATHA,Independent,252
Dasarahalli,14,SAVITHA T. P.,Independent,185
Dasarahalli,15,SUMANTH P. N.,Independent,151
Dasarahalli,16,NOTA,None of the Above,2179
Mahalakshmi Layout,1,KESHAVAMURTHY S,Indian National Congress,45259
Mahalakshmi Layout,2,K. GOPALAIAH,Bharatiya Janata Party,96424
Mahalakshmi Layout,3,N. NARAYANASWAMY,Bahujan Samaj Party,442
Mahalakshmi Layout,4,K C RAJANNA,Janata Dal (Secular),9241
Mahalakshmi Layout,5,SHANTHALA DAMLE,Aam Aadmi Party,1600
Mahalakshmi Layout,6,MELROY AMIT REBELLO,Karnataka Rashtra Samithi,255
Mahalakshmi Layout,7,ASWATHA,Indian Movement Party,83
Mahalakshmi Layout,8,CHETAN. R,Desh Prem Party,97
Mahalakshmi Layout,9,S. MURALI,Akhil Bharat Hindu Mahasabha,125
Mahalakshmi Layout,10,LAKSHMINARAYANA M R,Uttama Prajaakeeya Party,2853
Mahalakshmi Layout,11,SRINIVASAMURTHY,Karnataka Pragnyavantha Janatha Party,112
Mahalakshmi Layout,12,N GIRISH GOWDA,Independent,326
Mahalakshmi Layout,13,NOTA,None of the Above,2286
Malleshwaram,1,ANOOP IYENGAR,Indian National Congress,39304
Malleshwaram,2,ABDUL SUHAIL AHMED,Bahujan Samaj Party,219
Malleshwaram,3,DR ASHWATH NARAYAN C N,Bharatiya Janata Party,80606
Malleshwaram,4,UTHKARSH A,Janata Dal (Secular),2657
Malleshwaram,5,SUNIL HEBBI,National People's Party,96
Malleshwaram,6,SUMAN,Aam Aadmi Party,800
Malleshwaram,7,KRISHNAIAH,Rashtriya Samaj Dal (R),81
Malleshwaram,8,RAJESH B,Karnataka Rashtra Samithi,236
Malleshwaram,9,SANTOSH S,Bharatiya Prajagala Kalyana Paksha,92
Malleshwaram,10,K M FAYAZ AHMED,Independent,133
Malleshwaram,11,MANU KUMAR,Independent,190
Malleshwaram,12,NOTA,None of the Above,2079
Hebbal,1,Aslam Jamsheed Khan,Bahujan Samaj Party,295
Hebbal,2,Jagdeesha Katta K S,Bharatiya Janata Party,61084
Hebbal,3,K S Manjunath Naidu,Aam Aadmi Party,1026
Hebbal,4,Suresha B S,Indian National Congress,91838
Hebbal,5,Syed Mohid Altaf,Janata Dal (Secular),1604
Hebbal,6,Anjan Kumar Gowda S,Indian New Congress Party,123
Hebbal,7,Kumara S,Uttama Prajaakeeya Party,711
Hebbal,8,Ganesh C,Karnataka Rashtra Samithi,80
Hebbal,9,Perumal S,Akhil Bharat Hindu Mahasabha,81
Hebbal,10,Ramesh Jagathap,Sarvajanika Adarsha Sena,115
Hebbal,11,Jagadish T S,Independent,74
Hebbal,12,Ramu S,Independent,113
Hebbal,13,N M Santhosh Kumar,Independent,200
Hebbal,14,Hussain Saheb,Independent,149
Hebbal,15,NOTA,None of the Above,1639
Pulakeshinagar,1,AKANDA SRINIVASA MURTHY R,Bahujan Samaj Party,25106
Pulakeshinagar,2,ANURADHA V,Janata Dal (Secular),844
Pulakeshinagar,3,A MURALI,Bharatiya Janata Party,10624
Pulakeshinagar,4,A C SRINIVASA,Indian National Congress,87316
Pulakeshinagar,5,SURESH RATHOD,Aam Aadmi Party,694
Pulakeshinagar,6,KARTHIK A,Janata Dal (United),94
Pulakeshinagar,7,SUNSTAR D JAIRAM,Gareeb Aadmi Party,98
Pulakeshinagar,8,B R BHASKAR PRASAD,Social Democratic Party Of India,4102
Pulakeshinagar,9,MOHAN KUMAR,Karnataka Rashtra Samithi,66
Pulakeshinagar,10,R MOHAN RAJU,Republican Party of India (Karnataka),50
Pulakeshinagar,11,A CHANDRA KUMAR,Independent,82
Pulakeshinagar,12,NIRANJAN D RAJ,Independent,68
Pulakeshinagar,13,PRIYA,Independent,223
Pulakeshinagar,14,SHAKTIVELU,Independent,183
Pulakeshinagar,15,V J SANJAY KUMAR,Independent,129
Pulakeshinagar,16,NOTA,None of the Above,1190
Sarvagnanagar,1,KELACHANDRA JOSEPH GEORGE,Indian National Congress,118783
Sarvagnanagar,2,KEMPURAJAN,National People's Party,393
Sarvagnanagar,3,PADMANABHA REDDY,Bharatiya Janata Party,63015
Sarvagnanagar,4,MOHAMED IBRAHIM,Aam Aadmi Party,1488
Sarvagnanagar,5,MOHAMMED MUSTAFA,Janata Dal (Secular),3839
Sarvagnanagar,6,ABDUL HANNAN,Social Democratic Party Of India,2995
Sarvagnanagar,7,S UMASHANKAR,Karnataka Rashtra Samithi,148
Sarvagnanagar,8,MAHABOOB PASHA,Tipu Sultan Party,61
Sarvagnanagar,9,MYNAVATHI,Janata Dal (United),85
Sarvagnanagar,10,MODI SAIFULLA,Samajwadi Party,104
Sarvagnanagar,11,SHIVAKUMAR,Uttama Prajaakeeya Party,612
Sarvagnanagar,12,DILIP KUMAR,Independent,177
Sarvagnanagar,13,YESU GERARD P,Independent,111
Sarvagnanagar,14,VASANTH KUMAR E,Independent,374
Sarvagnanagar,15,SHEELA B N,Independent,303
Sarvagnanagar,16,NOTA,None of the Above,2116
C.V. Raman Nagar,1,ANAND KUMAR. S,Indian National Congress,52833
C.V. Raman Nagar,2,ANJI. V.,Bahujan Samaj Party,337
C.V. Raman Nagar,3,MOHAN DASARI,Aam Aadmi Party,2967
C.V. Raman Nagar,4,S. RAGHU,Bharatiya Janata Party,69228
C.V. Raman Nagar,5,CHAITRA. G,Uttama Prajaakeeya Party,892
C.V. Raman Nagar,6,DR. MANJUNATHA. S.,Karnataka Rashtra Samithi,175
C.V. Raman Nagar,7,M. RAJENDRA,Republican Party of India,132
C.V. Raman Nagar,8,S. CHANDRA SHEKAR,Independent,171
C.V. Raman Nagar,9,P. RAMESH,Independent,448
C.V. Raman Nagar,10,RAKESH KUMAR,Independent,143
C.V. Raman Nagar,11,NOTA,None of the Above,1999
Shivajinagar,1,CHANDRA.N.,Bharatiya Janata Party,41719
Shivajinagar,2,PRAKASH NEDUNGADI,Aam Aadmi Party,1634
Shivajinagar,3,RIZWAN ARSHAD,Indian National Congress,64913
Shivajinagar,4,B K PRASAD,"Proutist Bloc, India",176
Shivajinagar,5,MOHTHASHEM ALI KHAN,Karnataka Karmikara Paksha,62
Shivajinagar,6,HABEEB SAB,Karnataka Rashtra Samithi,59
Shivajinagar,7,ANWAR BASHA,Independent,52
Shivajinagar,8,JAMEEL AHMED,Independent,22
Shivajinagar,9,TANVEER AHMED,Independent,60
Shivajinagar,10,MOHAMMED HANEEF,Independent,54
Shivajinagar,11,M RAFEEQ AHMED,Independent,51
Shivajinagar,12,ROBERT CLIVE,Independent,130
Shivajinagar,13,SHANAWAZ AHMED,Independent,46
Shivajinagar,14,SARAVANAN S,Independent,122
Shivajinagar,15,M SADIQ ALI,Independent,112
Shivajinagar,16,NOTA,None of the Above,1235
Shanti Nagar,1,MATHAI . K,Aam Aadmi Party,1604
